listing_id,title,category,price_fcfa,currency,neighborhood,city_region,bedrooms,surface_m2,date_posted_raw,url
6675562,Villa meublée à vendre à Saly center,Maisons à vendre,305000000.0,XOF,Saly,Thiès,4.0,695.0,"25. juin, 15:57",https://www.expat-dakar.com/annonce/villa-meublee-a-vendre-a-saly-center-6675562
6720568,Maison en finitions Ngandigal Mbour,Maisons à vendre,19500000.0,XOF,Mbour,Thiès,3.0,290.0,"24. juin, 17:05",https://www.expat-dakar.com/annonce/maison-en-finitions-ngandigal-mbour-6720568
6704729,"Belle villa  de 6ch,",Maisons à vendre,65000000.0,XOF,Keur Massar,Dakar,6.0,220.0,"24. juin, 11:27",https://www.expat-dakar.com/annonce/belle-villa-de-6ch-6704729
6507228,VILLA R+1 A VENDRE A SACRÉ COEUR 3,Maisons à vendre,190000000.0,XOF,Sicap Sacré-cœur,Dakar,7.0,170.0,"6. août, 11:06",https://www.expat-dakar.com/annonce/villa-r1-a-vendre-a-sacre-coeur-3-6507228
6769990,Réf_6242_PL – Magnifique villa avec Titre Foncier à vendre,Maisons à vendre,900000000.0,XOF,Mamelles,Dakar,5.0,250.0,"23. juin, 15:48",https://www.expat-dakar.com/annonce/ref-6242-pl-magnifique-villa-avec-titre-foncier-a-vendre-6769990
6753371,Des Villas préfabriquées a vendre a Niacoulrab,Maisons à vendre,50000000.0,XOF,Niakoul rap,Dakar,5.0,250.0,"9. juin, 14:00",https://www.expat-dakar.com/annonce/des-villas-prefabriquees-a-vendre-a-niacoulrab-6753371
6761788,Maison a vendre a Bambilor,Maisons à vendre,40000000.0,XOF,Bambilor,Dakar,5.0,150.0,"16. juin, 17:14",https://www.expat-dakar.com/annonce/maison-a-vendre-a-bambilor-6761788
6724101,Maison à finir à vendre à Diamniadio,Maisons à vendre,35000000.0,XOF,Diamniadio,Dakar,5.0,150.0,"22. juin, 17:19",https://www.expat-dakar.com/annonce/maison-a-finir-a-vendre-a-diamniadio-6724101
6744432,Villa a vendre NGAPAROU,Maisons à vendre,190000000.0,XOF,Ngaparou,Thiès,4.0,300.0,"23. juin, 09:55",https://www.expat-dakar.com/annonce/villa-a-vendre-ngaparou-6744432
6732132,Immeuble a vendre au Centre Ville,Maisons à vendre,970000000.0,XOF,Dakar,Dakar,5.0,400.0,"23. juin, 09:54",https://www.expat-dakar.com/annonce/immeuble-a-vendre-au-centre-ville-6732132
6744664,Immeuble a vendre aux Almadies,Maisons à vendre,850000000.0,XOF,Almadies,Dakar,5.0,250.0,"23. juin, 09:54",https://www.expat-dakar.com/annonce/immeuble-a-vendre-aux-almadies-6744664
6744476,Villa a vendre Pointe Sarene,Maisons à vendre,450000000.0,XOF,Pointe sarrene,Thiès,4.0,600.0,"4. juin, 10:15",https://www.expat-dakar.com/annonce/villa-a-vendre-pointe-sarene-6744476
6655005,Magnifique villa à vendre à Saly,Maisons à vendre,280000000.0,XOF,Saly,Thiès,4.0,650.0,"23. juin, 09:44",https://www.expat-dakar.com/annonce/magnifique-villa-a-vendre-a-saly-6655005
6316466,villa R+1 à vendre TF,Maisons à vendre,100000000.0,XOF,Dalifort,Dakar,6.0,315.0,"28. juil., 17:10",https://www.expat-dakar.com/annonce/villa-r1-a-vendre-tf-6316466
6767505,Maison R+2 à vendre à la cité Alioune sow,Maisons à vendre,188000000.0,XOF,Golf,Dakar,8.0,150.0,"22. juin, 07:31",https://www.expat-dakar.com/annonce/maison-r2-a-vendre-a-la-cite-alioune-sow-6767505
6636664,R+1 à vendre à sacré cœur,Maisons à vendre,230000000.0,XOF,Sacré-cœur,Dakar,7.0,150.0,"21. juin, 16:40",https://www.expat-dakar.com/annonce/r1-a-vendre-a-sacre-coeur-6636664
6766525,maison de 720m² en face la Mer,Maisons à vendre,380000000.0,XOF,Plateau,Dakar,5.0,720.0,"20. juin, 12:25",https://www.expat-dakar.com/annonce/maison-de-720m2-en-face-la-mer-6766525
6757045,Villas Cité – Nguerign Peulh,Maisons à vendre,157000000.0,XOF,Autres,Autres,3.0,200.0,"12. juin, 11:14",https://www.expat-dakar.com/annonce/villas-cite-nguerign-peulh-6757045
6765191,Villa à vendre sur l'île de Ngor,Maisons à vendre,393750000.0,XOF,Ngor,Dakar,6.0,500.0,"19. juin, 07:52",https://www.expat-dakar.com/annonce/villa-a-vendre-sur-lile-de-ngor-6765191
6569650,Immeuble R+4 à vendre CPI liberte 6 extension VDN,Maisons à vendre,459000000.0,XOF,Liberte 6 extension,Dakar,5.0,250.0,"18. juin, 10:53",https://www.expat-dakar.com/annonce/immeuble-r4-a-vendre-cpi-liberte-6-extension-vdn-6569650
6343512,Maison à vendre à Keur Massar,Maisons à vendre,125000000.0,XOF,Keur Massar,Dakar,5.0,250.0,"17. juin, 11:31",https://www.expat-dakar.com/annonce/maison-a-vendre-a-keur-massar-6343512
6726309,Maison à vendre au almadies2,Maisons à vendre,56000000.0,XOF,Almadies 2,Dakar,5.0,150.0,"17. juin, 11:30",https://www.expat-dakar.com/annonce/maison-a-vendre-au-almadies2-6726309
6747719,Villa à vendre à Ngor Almadies derrière Philip Morris,Maisons à vendre,410000000.0,XOF,Almadies,Dakar,5.0,300.0,"16. juin, 10:12",https://www.expat-dakar.com/annonce/villa-a-vendre-a-ngor-almadies-derriere-philip-morris-6747719
6484268,Villa à vendre aux Mamelles,Maisons à vendre,850000000.0,XOF,Mamelles,Dakar,5.0,411.0,"15. juin, 07:04",https://www.expat-dakar.com/annonce/villa-a-vendre-aux-mamelles-6484268
6757024,OPPORTUNITE RARE A LA SOMONE : VILLA R+1 AVEC PISCINE,Maisons à vendre,90000000.0,XOF,Somone,Thiès,4.0,300.0,"12. juin, 12:15",https://www.expat-dakar.com/annonce/opportunite-rare-a-la-somone-villa-r1-avec-piscine-6757024
6756669,À VENDRE – Villa de Prestige - Somone,Maisons à vendre,105000000.0,XOF,Somone,Thiès,5.0,300.0,"12. juin, 08:39",https://www.expat-dakar.com/annonce/a-vendre-villa-de-prestige-somone-6756669
6756263,VILLA EN VENTE A SALY NIAKHNIAKHAL,Maisons à vendre,115000000.0,XOF,Saly,Thiès,3.0,900.0,"11. juin, 16:54",https://www.expat-dakar.com/annonce/villa-en-vente-a-saly-niakhniakhal-6756263
6756257,VILLA NABOU EN VENTE A NGUERIGNE SERERE,Maisons à vendre,164566000.0,XOF,Nguering,Thiès,3.0,769.0,"11. juin, 16:42",https://www.expat-dakar.com/annonce/villa-nabou-en-vente-a-nguerigne-serere-6756257
6756250,VILLA JUMELLE EN VENTE A NGUERIGNE SERERE,Maisons à vendre,173600000.0,XOF,Nguering,Thiès,3.0,718.0,"11. juin, 16:33",https://www.expat-dakar.com/annonce/villa-jumelle-en-vente-a-nguerigne-serere-6756250
6756245,VILLA SALANE EN VENTE A NGUERIGNE SERERE,Maisons à vendre,158938200.0,XOF,Nguering,Thiès,3.0,702.0,"11. juin, 16:22",https://www.expat-dakar.com/annonce/villa-salane-en-vente-a-nguerigne-serere-6756245
6756230,VILLA DIARRA EN VENTE A NGUERIGNE SERERE,Maisons à vendre,156050000.0,XOF,Nguering,Thiès,3.0,637.0,"11. juin, 16:13",https://www.expat-dakar.com/annonce/villa-diarra-en-vente-a-nguerigne-serere-6756230
6756026,VILLA CORDIA EN VENTE A NGUERIGNE SERERE,Maisons à vendre,108585000.0,XOF,Nguering,Thiès,3.0,360.0,"11. juin, 15:54",https://www.expat-dakar.com/annonce/villa-cordia-en-vente-a-nguerigne-serere-6756026
5687384,Maison à vendre à MBAO,Maisons à vendre,75000000.0,XOF,Mbao,Dakar,4.0,241.0,"12. juil., 13:02",https://www.expat-dakar.com/annonce/maison-a-vendre-a-mbao-5687384
6754560,Villa  sicap amitié 3 a vendre,Maisons à vendre,282000000.0,XOF,Amitié,Dakar,15.0,394.0,"10. juin, 13:18",https://www.expat-dakar.com/annonce/villa-sicap-amitie-3-a-vendre-6754560
6613575,Villa TF à vendre à Keur Massar,Maisons à vendre,40000000.0,XOF,Keur Massar,Dakar,5.0,150.0,"9. juin, 16:35",https://www.expat-dakar.com/annonce/villa-tf-a-vendre-a-keur-massar-6613575
6691042,Villa à vendre à Ngor almadies,Maisons à vendre,210000000.0,XOF,Ngor,Dakar,3.0,150.0,"8. juin, 19:07",https://www.expat-dakar.com/annonce/villa-a-vendre-a-ngor-almadies-6691042
